item,easy,target_disc,nuisance_disc
1,2.522,1,0.4
2,1.902,1,0.4
3,1.351,1,0.4
4,1.092,1,0.4
5,0.234,1,0.4
6,0.317,1,0.4
7,-0.037,1,0.4
8,-0.268,1,0.4
9,0.571,1,0.4
10,-0.317,1,0.4
11,-0.295,1,0.4
12,-0.778,1,0.4
13,-1.514,1,0.4
14,-1.744,1,0.4
15,-1.951,1,0.4
16,1.152,1,0.4
17,0.526,1,0
18,-1.104,1,0
19,-0.961,1,0
20,-1.314,1,0
21,2.198,1,0
22,1.621,1,0
23,0.761,1,0
24,1.179,1,0
25,0.61,1,0
26,0.291,1,0
27,-0.067,1,0
28,-0.706,1,0
29,2.713,1,0
30,-0.213,1,0
31,-0.116,1,0
32,-0.273,1,0
33,-0.84,1,0
34,-0.745,1,0
35,-1.485,1,0
36,1.208,1,0
37,-0.189,1,0
38,-0.345,1,0
39,-0.962,1,0
40,-1.592,1,0
